D: 2, x: 3, y: 2
D: 3, x: 2, y: 1
D: 5, x: 9, y: 4
D: 6, x: 5, y: 2
D: 7, x: 8, y: 3
D: 8, x: 3, y: 1
D: 10, x: 19, y: 6
D: 11, x: 10, y: 3
D: 12, x: 7, y: 2
D: 14, x: 15, y: 4
D: 15, x: 4, y: 1
D: 17, x: 33, y: 8
D: 18, x: 17, y: 4
D: 19, x: 170, y: 39
D: 20, x: 9, y: 2
D: 21, x: 55, y: 12
D: 22, x: 197, y: 42
D: 23, x: 24, y: 5
D: 24, x: 5, y: 1
D: 26, x: 51, y: 10
D: 27, x: 26, y: 5
D: 28, x: 127, y: 24
D: 30, x: 11, y: 2
D: 32, x: 17, y: 3
D: 33, x: 23, y: 4
D: 34, x: 35, y: 6
D: 35, x: 6, y: 1
D: 37, x: 73, y: 12
D: 38, x: 37, y: 6
D: 39, x: 25, y: 4
D: 40, x: 19, y: 3
D: 42, x: 13, y: 2
D: 44, x: 199, y: 30
D: 45, x: 161, y: 24
D: 47, x: 48, y: 7
D: 48, x: 7, y: 1
D: 50, x: 99, y: 14
D: 51, x: 50, y: 7
D: 52, x: 649, y: 90
D: 54, x: 485, y: 66
D: 55, x: 89, y: 12
D: 56, x: 15, y: 2
D: 57, x: 151, y: 20
D: 59, x: 530, y: 69
D: 60, x: 31, y: 4
D: 62, x: 63, y: 8
D: 63, x: 8, y: 1
D: 65, x: 129, y: 16
D: 66, x: 65, y: 8
D: 68, x: 33, y: 4
D: 70, x: 251, y: 30
D: 72, x: 17, y: 2
D: 75, x: 26, y: 3
D: 77, x: 351, y: 40
D: 78, x: 53, y: 6
D: 79, x: 80, y: 9
D: 80, x: 9, y: 1
D: 82, x: 163, y: 18
D: 83, x: 82, y: 9
D: 84, x: 55, y: 6
D: 87, x: 28, y: 3
D: 88, x: 197, y: 21
D: 90, x: 19, y: 2
D: 95, x: 39, y: 4
D: 96, x: 49, y: 5
D: 98, x: 99, y: 10
D: 99, x: 10, y: 1
D: 101, x: 201, y: 20
D: 102, x: 101, y: 10
D: 104, x: 51, y: 5
D: 105, x: 41, y: 4
D: 107, x: 962, y: 93
D: 110, x: 21, y: 2
D: 111, x: 295, y: 28
D: 112, x: 127, y: 12
D: 114, x: 1025, y: 96
D: 117, x: 649, y: 60
D: 119, x: 120, y: 11
D: 120, x: 11, y: 1
D: 122, x: 243, y: 22
D: 123, x: 122, y: 11
D: 126, x: 449, y: 40
D: 128, x: 577, y: 51
D: 132, x: 23, y: 2
D: 135, x: 244, y: 21
D: 136, x: 35, y: 3
D: 138, x: 47, y: 4
D: 140, x: 71, y: 6
D: 141, x: 95, y: 8
D: 142, x: 143, y: 12
D: 143, x: 12, y: 1
D: 145, x: 289, y: 24
D: 146, x: 145, y: 12
D: 147, x: 97, y: 8
D: 148, x: 73, y: 6
D: 150, x: 49, y: 4
D: 152, x: 37, y: 3
D: 155, x: 249, y: 20
D: 156, x: 25, y: 2
D: 160, x: 721, y: 57
D: 165, x: 1079, y: 84
D: 167, x: 168, y: 13
D: 168, x: 13, y: 1
D: 170, x: 339, y: 26
D: 171, x: 170, y: 13
D: 176, x: 199, y: 15
D: 180, x: 161, y: 12
D: 182, x: 27, y: 2
D: 183, x: 487, y: 36
D: 189, x: 55, y: 4
D: 192, x: 97, y: 7
D: 194, x: 195, y: 14
D: 195, x: 14, y: 1
D: 197, x: 393, y: 28
D: 198, x: 197, y: 14
D: 200, x: 99, y: 7
D: 203, x: 57, y: 4
D: 207, x: 1151, y: 80
D: 208, x: 649, y: 45
D: 210, x: 29, y: 2
D: 215, x: 44, y: 3
D: 216, x: 485, y: 33
D: 219, x: 74, y: 5
D: 220, x: 89, y: 6
D: 222, x: 149, y: 10
D: 223, x: 224, y: 15
D: 224, x: 15, y: 1
D: 226, x: 451, y: 30
D: 227, x: 226, y: 15
D: 228, x: 151, y: 10
D: 230, x: 91, y: 6
D: 231, x: 76, y: 5
D: 235, x: 46, y: 3
D: 240, x: 31, y: 2
D: 248, x: 63, y: 4
D: 252, x: 127, y: 8
